Date,Opponent,Opp. FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Ivory Coast,34,L,14,4,0,12,3,1
28/03/2026,Japan,18,L,8,3,0,18,7,1
18/11/2025,Denmark,18,W,10,5,4,18,3,2
15/11/2025,Greece,48,L,12,6,2,18,10,3
12/10/2025,Belarus,103,W,12,6,2,22,3,1
09/10/2025,Greece,48,W,8,3,3,15,3,1
08/09/2025,Belarus,103,W,12,9,2,5,3,0
05/09/2025,Denmark,21,D,11,1,0,16,2,0
09/06/2025,Liechtenstein,207,W,19,6,4,1,0,0
06/06/2025,Iceland,74,L,15,5,1,5,3,3
23/03/2025,Greece (NL Playoff),44,L,11,5,0,13,5,3
20/03/2025,Greece (NL Playoff),44,W,8,2,1,24,1,0
18/11/2024,Poland,35,W,16,7,2,19,6,1
15/11/2024,Croatia,13,W,8,2,1,12,4,0
12/10/2024,Croatia,12,L,9,2,1,17,6,2
15/10/2024,Portugal,8,D,4,2,0,14,3,0
08/09/2024,Portugal,6,L,5,2,1,26,7,2
05/09/2024,Poland,35,L,11,3,2,10,3,3
23/06/2024,Hungary (Euro 2024 GS),30,L,4,0,0,14,5,1
19/06/2024,Switzerland (Euro 2024 GS),19,D,12,3,1,11,4,1
