Date,Opponent,Rank,Result,Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
20/06/2024,Canada,30,W,19,9,2,10,2,0
25/06/2024,Chile,54,W,22,9,1,3,3,0
29/06/2024,Peru,53,W,12,6,2,6,1,0
04/07/2024,Ecuador,23,D,8,2,1,9,2,1
09/07/2024,Canada,30,W,11,3,2,9,2,0
14/07/2024,Colombia,13,W,11,6,1,19,4,0
05/09/2024,Chile,54,W,16,8,3,5,1,0
10/09/2024,Colombia,13,L,13,1,1,9,5,2
10/10/2024,Venezuela,49,D,8,4,1,16,6,1
15/10/2024,Bolivia,76,W,14,10,6,4,1,0
14/11/2024,Paraguay,40,L,9,1,1,8,2,2
19/11/2024,Peru,53,W,11,3,1,2,0,0
21/03/2025,Uruguay,17,W,12,4,1,6,2,0
25/03/2025,Brazil,6,W,12,7,4,3,1,1
05/06/2025,Chile,54,W,10,4,1,7,3,0
10/06/2025,Colombia,13,D,10,3,1,11,5,1
04/09/2025,Venezuela,49,W,17,9,3,5,0,0
09/09/2025,Ecuador,23,L,8,0,0,11,4,1
10/10/2025,Venezuela,49,W,19,11,1,5,1,0
15/10/2025,Puerto Rico,156,W,25,11,6,5,3,0
