Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Iceland,75.0,D,11,3,1,4,1,1
2026-03-28,Tunisia,44.0,L,13,2,0,11,5,1
2025-11-18,Nicaragua,131.0,W,9,4,2,9,3,0
2025-11-13,Costa Rica,51.0,W,8,3,1,14,6,0
2025-10-13,Honduras,66.0,L,12,3,0,18,8,3
2025-10-09,Nicaragua,131.0,W,10,6,3,12,3,0
2025-09-09,Costa Rica,51.0,D,11,8,3,24,11,3
2025-09-05,Honduras,66.0,D,15,7,0,14,3,0
2025-06-22,USA,16.0,L,8,3,1,15,5,2
2025-06-19,Trinidad and Tobago,102.0,D,16,3,1,9,2,1
2025-06-15,Saudi Arabia,61.0,L,13,5,0,7,4,1
2025-06-10,Curaçao,82.0,L,21,5,1,10,8,5
2025-06-07,Aruba,189.0,W,24,10,5,7,3,0
2024-11-18,Puerto Rico,156.0,W,16,8,3,5,0,0
2024-11-15,Sint Maarten,,W,25,12,8,8,1,0
2024-10-14,Aruba,189.0,W,17,8,5,6,3,3
2024-10-11,Aruba,189.0,W,17,5,3,2,1,1
2024-09-09,Sint Maarten,,W,20,9,6,12,2,0
2024-09-06,Puerto Rico,156.0,W,21,8,4,11,5,1
2024-06-09,Barbados,179.0,W,22,5,3,6,3,1
