Date,Opponent,Current FIFA Rank of Opponent,Result,Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
31/03/2026,Serbia,39,L,3,1,1,23,10,2
27/03/2026,Egypt,29,L,7,0,0,13,8,4
15/12/2025,Jordan,64,L,8,1,0,6,5,1
11/12/2025,Palestine,94,W,14,3,2,8,2,1
08/12/2025,Morocco,8,L,3,2,0,9,0,1
05/12/2025,Comoros,107,W,18,5,3,6,2,1
02/12/2025,Oman,79,W,14,5,2,6,3,1
18/11/2025,Algeria,28,L,6,2,0,10,4,2
14/10/2025,Iraq,59,D,15,4,0,4,1,0
08/10/2025,Indonesia,121,W,17,10,3,10,5,2
08/09/2025,Czechia,43,D,9,5,1,6,1,1
04/09/2025,North Macedonia,67,W,11,7,2,5,2,1
28/06/2025,Mexico,15,L,1,0,0,14,5,2
22/06/2025,Trinidad and Tobago,102,D,14,4,1,6,3,1
19/06/2025,USA,16,L,3,1,0,6,3,1
15/06/2025,Haiti,83,W,7,4,1,13,5,0
10/06/2025,Australia,27,L,14,6,1,4,3,2
05/06/2025,Bahrain,90,W,10,3,2,17,2,0
