Date,Opponent,Rank,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
2026-03-31,Kosovo,78,W,12,3,1,11,2,0
2026-03-26,Romania,56,W,16,2,1,6,0,0
2025-11-18,Spain,2,D,13,7,2,21,9,2
2025-11-15,Bulgaria,86,W,19,6,2,9,2,0
2025-10-14,Georgia,72,W,10,6,4,12,3,1
2025-10-11,Bulgaria,86,W,18,8,6,4,2,1
2025-09-07,Spain,2,L,11,2,0,21,12,6
2025-09-04,Georgia,72,W,6,3,3,15,4,2
2025-06-11,Mexico,15,L,17,1,0,6,3,1
2025-06-07,United States,16,W,11,5,2,13,3,1
2025-03-23,Hungary,42,W,9,4,3,10,2,0
2025-03-20,Hungary,42,W,10,3,3,15,6,1
2024-11-19,Montenegro,81,L,21,6,1,10,6,3
2024-11-16,Wales,37,D,25,3,0,4,1,0
2024-10-14,Iceland,75,W,24,12,4,12,7,2
2024-10-11,Montenegro,81,W,29,9,1,10,3,0
2024-09-09,Iceland,75,W,21,7,3,6,1,1
2024-09-06,Wales,37,D,5,1,0,15,1,0
2024-07-06,Netherlands,7,L,15,4,1,11,4,2
2024-07-02,Austria,24,W,6,3,2,21,5,1
